,log_10_rew_prob,variable,value
351,-2.42,n_cc_vacc,26.0
352,-2.42,n_cc_vacc,33.0
353,-2.42,n_cc_vacc,24.0
354,-2.42,n_cc_vacc,27.0
355,-2.42,n_cc_vacc,21.0
356,-2.42,n_cc_vacc,26.0
357,-2.42,n_cc_vacc,31.0
358,-2.42,n_cc_vacc,25.0
359,-2.42,n_cc_vacc,27.0
360,-2.2266666666666666,n_cc_vacc,28.0
361,-2.2266666666666666,n_cc_vacc,28.0
362,-2.2266666666666666,n_cc_vacc,30.0
363,-2.2266666666666666,n_cc_vacc,29.0
364,-2.2266666666666666,n_cc_vacc,24.0
365,-2.2266666666666666,n_cc_vacc,36.0
366,-2.2266666666666666,n_cc_vacc,24.0
367,-2.2266666666666666,n_cc_vacc,29.0
368,-2.2266666666666666,n_cc_vacc,28.0
369,-2.2266666666666666,n_cc_vacc,23.0
370,-2.033333333333333,n_cc_vacc,28.0
371,-2.033333333333333,n_cc_vacc,26.0
372,-2.033333333333333,n_cc_vacc,31.0
373,-2.033333333333333,n_cc_vacc,24.0
374,-2.033333333333333,n_cc_vacc,29.0
375,-2.033333333333333,n_cc_vacc,25.0
376,-2.033333333333333,n_cc_vacc,20.0
377,-2.033333333333333,n_cc_vacc,25.0
378,-2.033333333333333,n_cc_vacc,27.0
379,-2.033333333333333,n_cc_vacc,28.0
380,-1.84,n_cc_vacc,22.0
381,-1.84,n_cc_vacc,29.0
382,-1.84,n_cc_vacc,30.0
383,-1.84,n_cc_vacc,13.0
384,-1.84,n_cc_vacc,16.0
385,-1.84,n_cc_vacc,16.0
386,-1.84,n_cc_vacc,24.0
387,-1.84,n_cc_vacc,25.0
388,-1.84,n_cc_vacc,31.0
389,-1.84,n_cc_vacc,24.0
390,-1.6466666666666667,n_cc_vacc,22.0
391,-1.6466666666666667,n_cc_vacc,17.0
392,-1.6466666666666667,n_cc_vacc,11.0
393,-1.6466666666666667,n_cc_vacc,20.0
394,-1.6466666666666667,n_cc_vacc,15.0
395,-1.6466666666666667,n_cc_vacc,19.0
396,-1.6466666666666667,n_cc_vacc,20.0
397,-1.6466666666666667,n_cc_vacc,20.0
398,-1.6466666666666667,n_cc_vacc,18.0
399,-1.6466666666666667,n_cc_vacc,15.0
400,-1.4533333333333334,n_cc_vacc,8.0
401,-1.4533333333333334,n_cc_vacc,13.0
402,-1.4533333333333334,n_cc_vacc,9.0
403,-1.4533333333333334,n_cc_vacc,10.0
404,-1.4533333333333334,n_cc_vacc,16.0
405,-1.4533333333333334,n_cc_vacc,17.0
406,-1.4533333333333334,n_cc_vacc,11.0
407,-1.4533333333333334,n_cc_vacc,10.0
408,-1.4533333333333334,n_cc_vacc,10.0
409,-1.4533333333333334,n_cc_vacc,14.0
410,-1.26,n_cc_vacc,14.0
411,-1.26,n_cc_vacc,9.0
412,-1.26,n_cc_vacc,12.0
413,-1.26,n_cc_vacc,12.0
414,-1.26,n_cc_vacc,13.0
415,-1.26,n_cc_vacc,18.0
416,-1.26,n_cc_vacc,6.0
417,-1.26,n_cc_vacc,7.0
418,-1.26,n_cc_vacc,9.0
419,-1.26,n_cc_vacc,16.0
420,-1.0666666666666667,n_cc_vacc,8.0
421,-1.0666666666666667,n_cc_vacc,9.0
422,-1.0666666666666667,n_cc_vacc,10.0
423,-1.0666666666666667,n_cc_vacc,9.0
424,-1.0666666666666667,n_cc_vacc,8.0
425,-1.0666666666666667,n_cc_vacc,7.0
426,-1.0666666666666667,n_cc_vacc,11.0
427,-1.0666666666666667,n_cc_vacc,7.0
428,-1.0666666666666667,n_cc_vacc,4.0
429,-1.0666666666666667,n_cc_vacc,8.0
430,-0.8733333333333335,n_cc_vacc,9.0
431,-0.8733333333333335,n_cc_vacc,7.0
432,-0.8733333333333335,n_cc_vacc,9.0
433,-0.8733333333333335,n_cc_vacc,10.0
434,-0.8733333333333335,n_cc_vacc,7.0
435,-0.8733333333333335,n_cc_vacc,5.0
436,-0.8733333333333335,n_cc_vacc,7.0
437,-0.8733333333333335,n_cc_vacc,5.0
438,-0.8733333333333335,n_cc_vacc,7.0
439,-0.8733333333333335,n_cc_vacc,8.0
440,-0.6800000000000002,n_cc_vacc,5.0
441,-0.6800000000000002,n_cc_vacc,6.0
442,-0.6800000000000002,n_cc_vacc,8.0
443,-0.6800000000000002,n_cc_vacc,1.0
444,-0.6800000000000002,n_cc_vacc,3.0
445,-0.6800000000000002,n_cc_vacc,4.0
446,-0.6800000000000002,n_cc_vacc,5.0
447,-0.6800000000000002,n_cc_vacc,3.0
448,-0.6800000000000002,n_cc_vacc,8.0
449,-0.6800000000000002,n_cc_vacc,3.0
450,-0.4866666666666668,n_cc_vacc,6.0
451,-0.4866666666666668,n_cc_vacc,6.0
452,-0.4866666666666668,n_cc_vacc,3.0
453,-0.4866666666666668,n_cc_vacc,7.0
454,-0.4866666666666668,n_cc_vacc,3.0
455,-0.4866666666666668,n_cc_vacc,2.0
456,-0.4866666666666668,n_cc_vacc,6.0
457,-0.4866666666666668,n_cc_vacc,3.0
458,-0.4866666666666668,n_cc_vacc,4.0
459,-0.4866666666666668,n_cc_vacc,8.0
460,-0.2933333333333335,n_cc_vacc,3.0
461,-0.2933333333333335,n_cc_vacc,8.0
462,-0.2933333333333335,n_cc_vacc,3.0
463,-0.2933333333333335,n_cc_vacc,6.0
464,-0.2933333333333335,n_cc_vacc,7.0
465,-0.2933333333333335,n_cc_vacc,6.0
466,-0.2933333333333335,n_cc_vacc,4.0
467,-0.2933333333333335,n_cc_vacc,6.0
468,-0.2933333333333335,n_cc_vacc,9.0
469,-0.2933333333333335,n_cc_vacc,3.0
470,-0.1,n_cc_vacc,9.0
471,-0.1,n_cc_vacc,7.0
472,-0.1,n_cc_vacc,5.0
473,-0.1,n_cc_vacc,6.0
474,-0.1,n_cc_vacc,4.0
475,-0.1,n_cc_vacc,4.0
476,-0.1,n_cc_vacc,7.0
477,-0.1,n_cc_vacc,8.0
478,-0.1,n_cc_vacc,5.0
479,-0.1,n_cc_vacc,10.0
480,-3.0,gcc_vacc_fract,0.085
481,-3.0,gcc_vacc_fract,0.12
482,-3.0,gcc_vacc_fract,0.1725
